customerID,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7789-HKSBS,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,4599.15,No
7416-CKTEP,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.6,1134.25,No
2586-CWXVV,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,No
3096-IZETN,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.1,947.3,Yes
2348-KCJLT,Yes,Yes,No,No,No,One year,Yes,Mailed check,61.5,2722.2,No
8401-EMUWF,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.4,3058.3,No
4193-IBKSW,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,1769.6,No
5377-NDTOU,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,91.05,6293.75,No
5922-ABDVO,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,1761.05,Yes
2474-LCNUE,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,No
0839-QNXME,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,578.5,No
3506-OVLKD,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.2,954.9,No
9172-ANCRX,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,Yes
6650-VJONK,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.85,43.85,No
2178-PMGCJ,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.7,1490.4,No
7492-TAFJD,Yes,Yes,No,No,No,Two year,No,Mailed check,38.55,280,No
2773-MADBQ,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,53.1,1901.25,No
6016-LVTJQ,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,716.4,No
7860-KSUGX,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),64.45,4720,No
8966-KZXXA,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.1,930.95,No
6910-HADCM,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,Yes
4816-LXZYW,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,1676.95,Yes
9606-PBKBQ,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85,2642.05,Yes
5149-QYTTU,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),95.15,6770.85,No
2070-XYMFH,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,1835.3,No
2085-BOJKI,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.65,1588.25,No
0817-HSUSE,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,No
5442-PPTJY,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,258.35,No
1927-QEWMY,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1502.25,No
1663-MHLHE,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,19.2,No
5663-QBGIS,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.35,6929.4,No
4450-MDZFX,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,No
6701-DHKWQ,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),51.35,3244.4,No
7554-AKDQF,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,323.45,No
3536-IQCTX,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.3,2661.1,Yes
4911-BANWH,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.55,2697.4,Yes
8496-EJAUI,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,1424.5,Yes
0794-YVSGE,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1401.15,No
5423-BHIXO,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.2,1739.6,No
6908-VVYHM,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,5931,No
2959-EEXWB,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.9,2333.85,No
1839-UMACK,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.05,949.85,No
3030-YDNRM,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,572.45,No
7321-KKSDU,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,696.8,No
3402-XRIUO,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.55,1381.8,No
3132-TVFDZ,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.85,2572.95,Yes
8286-AFUYI,No,No,No,No,No,Month-to-month,No,Electronic check,47.95,47.95,No
8080-DDEMJ,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,45.1,Yes
8356-WUAOJ,No,No,No,No,No,Month-to-month,Yes,Electronic check,45,45,No
6365-MTGZX,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96,2122.45,Yes
1349-WXNGG,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,20.05,Yes
8058-DMYRU,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,No
9350-ZXYJC,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,116.95,No
6990-YNRIO,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.65,6937.95,Yes
8958-JPTRR,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.3,1261.7,No
6959-GQEGV,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.95,3273.8,No
3173-WSSUE,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1415.85,No
1265-HVPZB,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),66.4,3958.2,No
4115-UMJFQ,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),35.75,2492.25,No
7369-TRPFD,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,279.2,No
1098-KFQEC,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1083,No
7190-XHTWJ,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.3,755.5,No
0621-TWIEM,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,402.6,Yes
3537-RYBHH,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.45,3252,No
2485-ITVKB,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,Yes
3669-OYSJI,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.2,46.2,Yes
1612-EOHDH,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,45.15,Yes
6702-OHFWR,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,43.3,43.3,Yes
5296-BFCYD,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.1,936.85,No
4510-PYUSH,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.15,2250.65,Yes
9359-JANWS,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),58.9,3857.1,No
7517-SAWMO,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.2,1441.1,Yes
4143-HHPMK,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.35,4338.6,Yes
3279-DYZQM,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,1378.45,No
7054-LGEQW,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,Yes
0523-VNGTF,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,2566.3,No
9575-IWCAZ,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.1,171,No
7105-MXJLL,No,Yes,No,No,Yes,One year,No,Mailed check,60.7,1597.4,No
7064-FRRSW,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,99,4744.35,No
7940-UQQUG,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,6721.6,No
0923-PNFUB,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.75,247.25,Yes
3961-SXAXY,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.05,44.05,No
7010-BRBUU,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.1,1734.65,No
3566-HJGPK,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.55,45.55,No
3062-ICYZQ,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.8,4539.35,No
9938-PRCVK,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,804.25,No
0973-KYVNF,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),70.65,5011.15,No
5129-HHMZC,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.45,3574.5,No
9637-CDTKZ,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.1,8086.4,No
3946-JEWRQ,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.2,4563,No
7873-CVMAW,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.55,6362.35,No
0463-WZZKO,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,No
3494-JCHRQ,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,70.05,Yes
6474-FVJLC,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86,165.45,Yes
4524-QCSSM,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,No
5832-EXGTT,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.2,1834.15,No
8840-DQLGN,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.5,3653.35,Yes
2039-JONDJ,Yes,No,No,No,No,One year,No,Bank transfer (automatic),55.45,1477.65,No
7217-JYHOQ,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),70.3,1706.45,No
6695-FRVEC,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.4,3953.7,No
4547-LYTDD,No,No,No,No,No,Month-to-month,No,Electronic check,72.65,1194.3,Yes
9894-QMIMJ,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),55.8,1327.85,No
8069-YQQAJ,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,31.1,419.7,No
6770-XUAGN,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21,21,Yes
4193-ORFCL,No,No,No,No,No,Month-to-month,No,Mailed check,45.1,45.1,Yes
1636-NTNCO,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.95,207.35,No
3466-WAESX,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.1,1083.7,No
9281-PKKZE,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.95,2007.85,No
3638-VBZTA,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.5,5882.75,No
7459-IMVYU,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,69.95,2657.55,No
7776-QWNFX,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,Yes
6689-TCZHQ,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.95,378.4,Yes
8563-OYMQY,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.95,1612.2,No
0754-EEBDC,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,76.65,No
5777-ZPQNC,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.15,260.7,No
1951-IEYXM,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.6,6441.85,No
3318-NMQXL,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92,266.8,No
3143-ILDAL,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,5124.6,Yes
1022-RKXDR,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.85,962.25,No
2361-FJWNO,Yes,No,Yes,No,No,One year,No,Credit card (automatic),36,1382.9,No
2272-UOINI,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,No
8232-UTFOZ,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1399.35,No
3750-YHRYO,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,150,No
6637-KYRCV,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,167.2,No
5668-MEISB,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),106.1,7657.4,No
0129-QMPDR,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,No
7188-CBBBA,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,6153.85,No
5356-CSVSQ,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,64.6,174.2,No
3221-CJMSG,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.1,1269.6,No
4720-VSTSI,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,3862.55,Yes
3219-JQRSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.1,6352.4,No
2801-NISEI,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.95,1348.5,No
3946-MHCZW,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,50.9,Yes
4623-ZKHLY,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,471.55,No
6732-VAILE,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.95,5931.75,No
8201-AAXCB,No,No,No,Yes,No,Month-to-month,No,Electronic check,60.35,1404.65,No
7696-CFTAT,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.8,726.1,No
1845-CSBRZ,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.35,1961.6,No
2123-VSCOT,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),72.1,4194.85,No
6651-AZVTJ,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4872.45,Yes
4566-GOLUK,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.35,5118.95,Yes
2484-DGXPZ,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,658.95,Yes
2018-QKYGT,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,81.05,No
2792-VPPET,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.5,76.95,No
7409-JURKQ,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,No
3247-MHJKM,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No
1964-SVLEA,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.7,415.9,No
4587-NUKOX,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,246.5,Yes
7297-DVYGA,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,996.95,No
2239-CGBUZ,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.5,3145.15,No
0854-UYHZD,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,265.3,No
7243-LCGGZ,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,20.9,No
8267-KFGYD,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.05,21.05,No
4890-VMUAV,Yes,Yes,Yes,No,No,One year,No,Electronic check,71.5,4576.3,No
9261-WDCAF,No,No,No,No,Yes,Month-to-month,No,Mailed check,54.65,189.1,No
3764-MNMOI,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.2,908.15,No
7442-YGZFK,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,No
0420-BWTPW,No,No,No,No,No,Month-to-month,No,Mailed check,25.5,215.2,Yes
8229-BUJHX,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,1500.95,No
7449-HVPIV,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,5099.15,No
5504-WSIUR,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.25,6385.95,No
8183-ONMXC,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.75,159.45,Yes
8466-PZBLH,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.6,6885.75,No
9614-RMGHA,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.85,5940.85,Yes
8735-IJJEG,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.2,668.85,No
0564-MUUQK,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,No
5054-IEXZT,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,Yes
5834-ASPWA,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,75.45,Yes
0701-RFGFI,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,4613.95,No
0019-EFAEP,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No
5619-PTMIK,No,No,No,No,No,Month-to-month,No,Electronic check,53.1,2459.8,No
3737-XBQDD,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.85,2048.8,No
5882-CMAZQ,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,34.25,163.55,No
5846-QFDFI,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No
4445-KWOKW,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),60.15,2421.6,No
3511-APPBJ,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.95,2292.75,No
7967-HYCDE,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,553.4,No
2430-RRYUW,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7,No
3948-XHGNA,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,1210.4,Yes
3723-BFBGR,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),54.8,1291.3,No
0565-IYCGT,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.6,5356.45,Yes
5447-WZAFP,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.3,5200.8,No
5110-CHOPY,No,Yes,No,Yes,Yes,Two year,No,Electronic check,53.6,3237.05,No
5445-UTODQ,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.1,576.65,Yes
4425-OWHWB,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.35,433.75,No
7892-QVYKW,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.6,1868.4,No
9675-ICXCT,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,80.8,5728.55,No
1024-VRZHF,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,825.7,Yes
4703-MQYKT,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,390.4,No
9497-QCMMS,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes
5692-ICXLW,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.7,2845.15,No
0602-DDUML,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,69.75,3894.4,No
2208-MPXIO,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20,886.4,No
1960-UYCNN,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.25,1021.55,No
0348-SDKOL,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,5885.4,Yes
3190-FZATL,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,268.4,No
7336-RLLRH,No,No,Yes,Yes,Yes,One year,No,Mailed check,80.85,2204.35,No
4373-MAVJG,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.9,1259,Yes
8901-HJXTF,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.2,309.1,Yes
7710-JSYOA,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.3,6398.05,No
5419-KLXBN,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,Yes
3424-NMNBO,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,6287.25,Yes
9885-MFVSU,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),46.35,1662.05,No
4514-GFCFI,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,1350.15,Yes
0607-MVMGC,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.75,3600.65,No
3365-SAIGS,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,1329.15,No
9828-AOQLM,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.7,45.7,Yes
8022-BECSI,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,422.5,No
8000-REIQB,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,Yes
9993-LHIEB,No,Yes,Yes,No,Yes,Two year,No,Mailed check,67.85,4627.65,No
0266-CLZKZ,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,6717.9,No
7615-ESMYF,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.6,97.1,Yes
3858-VOBET,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,Yes
7020-OZKXZ,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),75.5,637.4,No
3977-QCRSL,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,117.95,No
0017-DINOC,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No
1447-PJGGA,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,5464.65,Yes
8565-CLBZW,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,2165.05,Yes
9139-WQQDY,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,Yes
0224-HJAPT,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,Yes
8086-OVPWV,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,181.1,Yes
9430-FRQOC,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,341.45,Yes
7639-OPLNG,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.25,5731.85,No
3074-GQWYX,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,357.75,Yes
1492-QGCLU,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,4616.1,No
6845-RGTYS,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,Yes
7328-OWMOM,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,589.25,No
4418-LZMSV,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.8,750.1,No
5155-AZQPB,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,No
8861-HGGKB,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,830.85,Yes
1087-GRUYI,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.4,743.5,No
7065-YUNRY,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,Yes
7694-VLBWQ,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,7040.85,Yes
2546-KZAAT,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,No
0181-RITDD,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,No
5989-PGKJB,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1,No
4795-KTRTH,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81,371.65,Yes
8272-ONJLV,No,Yes,No,Yes,Yes,One year,No,Electronic check,95.7,1184,No
1488-PBLJN,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85,8477.7,No
0308-GIQJT,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85,No
3778-FOAQW,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,456.85,No
4452-ROHMO,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,331.6,No
6481-OGDOO,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,6056.15,Yes
3090-LETTY,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.95,134.6,No
5349-AZPEW,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,125.5,No
3753-TSEMP,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.15,1390.6,Yes
8305-VHZBZ,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,20.2,Yes
9720-JJJOR,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,No
8100-HZZLJ,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.95,2737.05,No
8775-ERLNB,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,No
8309-IEYJD,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.6,70.6,No
9172-JITSM,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,Yes
6298-QDFNH,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,Yes
7398-HPYZQ,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404,No
3546-GHEAE,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,165.35,No
7361-YPXFS,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.45,1867.6,No
6557-BZXLQ,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,1043.3,No
2550-QHZGP,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,128.6,No
7519-JTWQH,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.5,7455.45,No
2538-OIMXF,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,No
8543-MSDMF,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.4,206.15,No
9961-JBNMK,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,Yes
1170-SASML,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.4,5869.4,No
